first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
rapédrièn,répédrièn,ppr,rièn,rép_éd,,répédrièn,control,p,0.0,1,é,a,rapédrièn,3,9,pseudo,block1
nilid,nilid,pr,rid,ni,,nirid,control,r,,0,r,l,nilid,2,5,pseudo,block1
injurelite,injurelite,prss,jur,in,el_ité,injurelité,target,s,1.0,2,é,e,injurelite,2,10,pseudo,block1
engiermert,engierment,prs,gier,en,ment,engierment,target,s,0.0,2,n,r,engiermert,3,10,pseudo,block1
refilage,refiloge,prs,fil,re,age,refilage,target,s,0.0,0,a,o,refiloge,1,8,pseudo,block1
sédnerujre,sésnerujre,pprs,ruj,séd_ne,re,sédnerujre,control,p,0.0,2,d,s,sésnerujre,1,10,pseudo,block1
sédnicidre,sédnicidre,pprs,cid,séd_ni,re,sédnicidre,control,r,,0,c,d,sédnididre,0,10,pseudo,block1
gierel,gierel,rs,gier,,el,gierel,target,r,,0,g,t,tierel,0,6,pseudo,block1
insanelité,ilsanelité,prss,san,in,el_ité,insanelité,target,p,0.0,1,n,l,ilsanelité,1,10,pseudo,block1
sydpelm,sydpilm,pr,pelm,syd,,sydpelm,control,r,,1,e,i,sydpilm,1,7,pseudo,block1
désensaner,désensaner,pprs,san,dés_en,er,désensaner,target,p,1.0,1,n,r,désersaner,0,10,pseudo,block1
tuéjaliste,tuélaliste,rss,tuél,,al_iste,tuélaliste,target,r,,3,l,j,tuéjaliste,3,10,pseudo,block1
désinfimer,désinfiler,pprs,fil,dés_in,er,désinfiler,target,r,,2,l,m,désinfimer,3,10,pseudo,block1
dicalité,decalité,rss,dic,,al_ité,dicalité,target,r,,1,i,e,decalité,1,8,pseudo,block1
redécamage,redécamage,pprs,cam,re_dé,age,redécamage,target,s,0.0,2,e,i,redécamagi,0,10,pseudo,block1
miértrièn,miérprièn,ppr,rièn,mi_érp,,miérprièn,control,p,1.0,2,p,t,miértrièn,3,9,pseudo,block1
désintaner,désinsaner,pprs,san,dés_in,er,désinsaner,target,r,,0,s,t,désintaner,3,10,pseudo,block1
éplanseist,édlanseist,prs,lans,éd,eist,édlanseist,control,p,0.0,1,d,p,éplanseist,3,10,pseudo,block1
incamalité,incalalité,prss,cam,in,al_ité,incamalité,target,r,,2,m,l,incalalité,1,10,pseudo,block1
dirivement,derivement,rss,dir,,ive_ment,dirivement,target,r,,1,i,e,derivement,1,10,pseudo,block1
milifletié,milifletié,prss,lif,mi,le_tié,milifletié,control,r,,0,l,n,minifletié,0,10,pseudo,block1
prédénour,prédénour,ppr,nour,pré_dé,,prédénour,target,p,0.0,1,r,l,plédénour,0,9,pseudo,block1
nitmoc,nitmoc,pr,troc,ni,,nitroc,control,r,,1,r,m,nitmoc,2,6,pseudo,block1
onnnort,onnnirt,pr,nort,onn,,onnnort,control,r,,1,o,i,onnnirt,1,7,pseudo,block1
rièn,raèn,r,rièn,,,rièn,control,r,,1,i,a,raèn,1,4,pseudo,block1
erroqeeag,erroqueag,prs,roqu,er,eag,erroqueag,control,r,,3,u,e,erroqeeag,3,9,pseudo,block1
naajlaisem,naajlaisem,rss,nauj,,la_isem,naujlaisem,control,r,,2,u,a,naajlaisem,2,10,pseudo,block1
nicédlatié,nicidlatié,prss,cid,ni,la_tié,nicidlatié,control,r,,1,i,é,nicédlatié,3,10,pseudo,block1
reisle,reisle,rs,reig,,le,reigle,control,r,,3,g,s,reisle,2,6,pseudo,block1
dicion,diciom,rs,dic,,ion,dicion,target,s,0.0,2,n,m,diciom,1,6,pseudo,block1
ertelm,erpelm,pr,pelm,er,,erpelm,control,r,,0,p,t,ertelm,3,6,pseudo,block1
désildofer,désindofer,pprs,dof,dés_in,er,désindofer,target,p,1.0,1,n,l,désildofer,3,10,pseudo,block1
insalivité,insalitité,prss,sal,in,iv_ité,insalivité,target,s,0.0,1,v,t,insalitité,1,10,pseudo,block1
recéjais,recéjais,ppr,jais,re_dé,,redéjais,target,p,1.0,0,d,c,recéjais,2,8,pseudo,block1
crus,crus,r,crus,,,crus,target,r,,1,r,m,cmus,0,4,pseudo,block1
nusnelas,nusnelas,ppr,las,rus_ne,,rusnelas,control,p,0.0,0,r,n,nusnelas,2,8,pseudo,block1
nimélarie,nimélarie,prs,mél,ni,arie,nimélarie,control,r,,2,l,n,niménarie,0,9,pseudo,block1
pnal,pnal,r,snal,,,snal,target,r,,0,s,p,pnal,2,4,pseudo,block1
quorionnel,quorionnel,rss,quor,,ionn_el,quorionnel,target,s,1.0,1,l,n,quorionnen,0,10,pseudo,block1
fil,fel,r,fil,,,fil,target,r,,1,i,e,fel,1,3,pseudo,block1
dystert,dyftert,pr,tert,dys,,dystert,target,p,0.0,2,s,f,dyftert,1,7,pseudo,block1
tood,tood,r,toid,,,toid,control,r,,2,i,o,tood,2,4,pseudo,block1
diotar,dioter,rs,diot,,er,dioter,target,s,0.0,0,e,a,diotar,3,6,pseudo,block1
nisaijacno,nisaijacne,prs,saij,ni,acne,nisaijacne,control,s,0.0,3,e,o,nisaijacno,3,10,pseudo,block1
sédnimahre,sédnimacre,pprs,mac,séd_ni,re,sédnimacre,control,r,,2,c,h,sédnimahre,3,10,pseudo,block1
imprénièr,imprénièr,ppr,nièr,im_pré,,imprénièr,target,r,,2,è,a,impréniar,0,9,pseudo,block1
saijuru,saijure,rs,saij,,ure,saijure,control,s,0.0,2,e,u,saijuru,3,7,pseudo,block1
érpernas,érpernas,ppr,nas,érp_er,,érpernas,control,r,,1,a,i,érpernis,0,8,pseudo,block1
naujla,noujla,rs,nauj,,la,naujla,control,r,,1,a,o,noujla,1,6,pseudo,block1
ercidta,ercidta,prs,cid,er,ta,ercidta,control,p,0.0,1,r,l,elcidta,0,7,pseudo,block1
ridmanemt,ridmanemq,rss,rid,,ma_nemt,ridmanemt,control,s,1.0,3,t,q,ridmanemq,1,9,pseudo,block1
nilub,nilub,pr,lub,ni,,nilub,control,p,0.0,0,n,r,rilub,0,5,pseudo,block1
toedinnole,toedinnole,rss,toid,,inno_le,toidinnole,control,r,,2,i,e,toedinnole,2,10,pseudo,block1
pelm,pelm,r,pelm,,,pelm,control,r,,3,m,l,pell,0,4,pseudo,block1
infilaire,infilaire,prs,fil,in,aire,infilaire,target,r,,1,i,e,infelaire,0,9,pseudo,block1
tanitôlc,talitôlc,pr,tôlc,tani,,tanitôlc,control,p,0.0,2,n,l,talitôlc,1,8,pseudo,block1
intrévisme,intrévisme,prs,trév,in,isme,intrévisme,target,s,0.0,2,m,l,intrévisle,0,10,pseudo,block1
netrocnemt,netrocnemt,prs,troc,ne,nemt,netrocnemt,control,s,0.0,0,n,l,netroclemt,0,10,pseudo,block1
defilage,defilage,prs,fil,dé,age,défilage,target,p,0.0,1,é,e,defilage,2,8,pseudo,block1
qaoraliste,qaoraliste,rss,quor,,al_iste,quoraliste,target,r,,1,u,a,qaoraliste,2,10,pseudo,block1
