first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
infortone,infortone,pr,in,fortune,,infortune,target,r,,4,u,o,infortone,2,9,real,block1
inhabituel,inhabituel,prs,in,habitu,el,inhabituel,target,s,0.0,0,e,a,inhabitual,0,10,real,block1
amabilité,emabilité,rss,,am,abil_ité,amabilité,target,r,,0,a,e,emabilité,1,9,real,block1
grilmon,grilmon,r,,grillon,,grillon,control,r,,4,l,m,grilmon,2,7,real,block1
infinité,irfinité,prs,in,fin,ité,infinité,target,p,0.0,1,n,r,irfinité,1,8,real,block1
totalement,totalement,rs,,totale,ment,totalement,target,r,,3,a,i,totilement,0,10,real,block1
améthyste,amathyste,r,,améthyste,,améthyste,control,r,,2,é,a,amathyste,1,9,real,block1
massacri,massacre,r,,massacre,,massacre,control,r,,7,e,i,massacri,3,8,real,block1
tierté,tierté,rs,,fier,té,fierté,target,r,,0,f,t,tierté,2,6,real,block1
ctatue,ctatue,r,,statue,,statue,control,r,,0,s,c,ctatue,2,6,real,block1
biyau,boyau,r,,boyau,,boyau,control,r,,1,o,i,biyau,3,5,real,block1
ertrejambe,ertrejambe,pr,entre,jambe,,entrejambe,target,p,0.0,1,n,r,ertrejambe,2,10,real,block1
marmotte,marmotte,r,,marmotte,,marmotte,control,r,,1,a,i,mirmotte,0,8,real,block1
asticot,asticot,r,,asticot,,asticot,control,r,,6,t,c,asticoc,0,7,real,block1
utelisable,utilisable,rss,,util,is_able,utilisable,target,r,,2,i,e,utelisable,3,10,real,block1
xrenouille,grenouille,r,,grenouille,,grenouille,control,r,,0,g,x,xrenouille,3,10,real,block1
mirabelle,minabelle,r,,mirabelle,,mirabelle,control,r,,2,r,n,minabelle,1,9,real,block1
péralité,pénalité,rss,,pén,al_ité,pénalité,target,r,,2,n,r,péralité,3,8,real,block1
immeuble,immeuble,r,,immeuble,,immeuble,control,r,,3,e,i,immiuble,0,8,real,block1
puchet,puchet,r,,pichet,,pichet,control,r,,1,i,u,puchet,2,6,real,block1
mortel,mortel,rs,,mort,el,mortel,target,s,0.0,0,e,u,mortul,0,6,real,block1
tourbillom,tourbillon,r,,tourbillon,,tourbillon,control,r,,9,n,m,tourbillom,3,10,real,block1
malin,malin,rs,,mal,in,malin,target,s,0.0,1,n,m,malim,0,5,real,block1
traisement,traisement,rs,,traite,ment,traitement,target,r,,4,t,s,traisement,2,10,real,block1
sinalité,finalité,rss,,fin,al_ité,finalité,target,r,,0,f,s,sinalité,3,8,real,block1
serviloté,servilité,rss,,serv,il_ité,servilité,target,s,1.0,0,i,o,serviloté,3,9,real,block1
inaction,inaction,prs,in,act,ion,inaction,target,s,0.0,2,n,r,inactior,0,8,real,block1
pendentis,pendentis,rss,,pend,ent_if,pendentif,target,s,1.0,1,f,s,pendentis,2,9,real,block1
ponlen,pollen,r,,pollen,,pollen,control,r,,2,l,n,ponlen,3,6,real,block1
étranger,étrangur,rs,,étrang,er,étranger,target,s,0.0,0,e,u,étrangur,1,8,real,block1
acteur,acteur,rs,,act,eur,acteur,target,r,,2,t,s,acseur,0,6,real,block1
découverte,découserte,pr,dé,couverte,,découverte,target,r,,3,v,s,découserte,1,10,real,block1
piquetige,piquetige,rss,,piqu,et_age,piquetage,target,s,1.0,0,a,i,piquetige,2,9,real,block1
confréree,confrérie,prs,con,frér,ie,confrérie,target,s,0.0,0,i,e,confréree,3,9,real,block1
solcan,solcan,r,,volcan,,volcan,control,r,,0,v,s,solcan,2,6,real,block1
crocodile,crocudile,r,,crocodile,,crocodile,control,r,,4,o,u,crocudile,1,9,real,block1
synagotue,synagotue,r,,synagogue,,synagogue,control,r,,6,g,t,synagotue,2,9,real,block1
tintamarre,tintamarre,r,,tintamarre,,tintamarre,control,r,,0,t,s,sintamarre,0,10,real,block1
prévoir,prévoir,pr,pré,voir,,prévoir,target,r,,1,o,i,préviir,0,7,real,block1
diaphrafme,diaphragme,r,,diaphragme,,diaphragme,control,r,,7,g,f,diaphrafme,3,10,real,block1
vivacité,vevacité,rss,,viv,ac_ité,vivacité,target,r,,1,i,e,vevacité,1,8,real,block1
hibascus,hibascus,r,,hibiscus,,hibiscus,control,r,,3,i,a,hibascus,2,8,real,block1
cramoisi,cremoisi,r,,cramoisi,,cramoisi,control,r,,2,a,e,cremoisi,1,8,real,block1
primevèle,primevèle,r,,primevère,,primevère,control,r,,7,r,l,primevèle,2,9,real,block1
acquiesça,acquiosça,r,,acquiesça,,acquiesça,control,r,,5,e,o,acquiosça,1,9,real,block1
prénom,prénom,pr,pré,nom,,prénom,target,p,0.0,1,r,n,pnénom,0,6,real,block1
invalade,invalade,pr,in,valide,,invalide,target,r,,3,i,a,invalade,2,8,real,block1
grappa,grappe,r,,grappe,,grappe,control,r,,5,e,a,grappa,3,6,real,block1
sourvu,sourvu,pr,pour,vu,,pourvu,target,p,0.0,0,p,s,sourvu,2,6,real,block1
escugriffe,escogriffe,r,,escogriffe,,escogriffe,control,r,,3,o,u,escugriffe,3,10,real,block1
plastron,plastron,r,,plastron,,plastron,control,r,,5,r,n,plastnon,0,8,real,block1
reacteur,roacteur,prs,re,act,eur,reacteur,target,p,0.0,1,e,o,roacteur,1,8,real,block1
vesibilité,vesibilité,rss,,vis,ibil_ité,visibilité,target,r,,1,i,e,vesibilité,2,10,real,block1
choutroute,choucroute,r,,choucroute,,choucroute,control,r,,4,c,t,choutroute,3,10,real,block1
dérisuon,dérisuon,prs,dé,ris,ion,dérision,target,s,0.0,0,i,u,dérisuon,2,8,real,block1
confitti,confetti,r,,confetti,,confetti,control,r,,4,e,i,confitti,3,8,real,block1
tabitacle,tabitacle,r,,habitacle,,habitacle,control,r,,0,h,t,tabitacle,2,9,real,block1
injustice,injustice,prs,in,just,ice,injustice,target,p,0.0,0,i,a,anjustice,0,9,real,block1
leitmotiv,laitmotiv,r,,leitmotiv,,leitmotiv,control,r,,1,e,a,laitmotiv,1,9,real,block1
corbeau,corbeau,r,,corbeau,,corbeau,control,r,,6,u,e,corbeae,0,7,real,block1
cérémonie,cérélonie,r,,cérémonie,,cérémonie,control,r,,4,m,l,cérélonie,1,9,real,block1
prévu,prévu,pr,pré,vu,,prévu,target,r,,0,v,p,prépu,0,5,real,block1
simplemert,simplement,rs,,simple,ment,simplement,target,s,0.0,2,n,r,simplemert,3,10,real,block1
dégoûtamt,dégoûtant,prs,dé,goût,ant,dégoûtant,target,s,0.0,1,n,m,dégoûtamt,3,9,real,block1
sportivisé,sportivité,rss,,sport,iv_ité,sportivité,target,s,1.0,1,t,s,sportivisé,3,10,real,block1
ràlit,ràlit,pr,re,lit,,relit,target,p,0.0,1,e,à,ràlit,2,5,real,block1
bombardier,bombarcier,rss,,bomb,ard_ier,bombardier,target,s,0.0,2,d,c,bombarcier,1,10,real,block1
eucalnptus,eucalyptus,r,,eucalyptus,,eucalyptus,control,r,,5,y,n,eucalnptus,3,10,real,block1
bourbon,bourben,r,,bourbon,,bourbon,control,r,,5,o,e,bourben,1,7,real,block1
enfui,enfui,pr,en,fui,,enfui,target,p,0.0,1,n,m,emfui,0,5,real,block1
ingénieup,ingénieux,prs,in,géni,eux,ingénieux,target,s,0.0,2,x,p,ingénieup,3,9,real,block1
parccemin,parchemin,r,,parchemin,,parchemin,control,r,,4,h,c,parccemin,3,9,real,block1
entourage,éntourage,prs,en,tour,age,entourage,target,p,0.0,0,e,é,éntourage,1,9,real,block1
poeliche,pouliche,r,,pouliche,,pouliche,control,r,,2,u,e,poeliche,3,8,real,block1
captivité,captivivé,rss,,capt,iv_ité,captivité,target,s,1.0,1,t,v,captivivé,1,9,real,block1
socialisme,socialisme,rss,,soci,al_isme,socialisme,target,r,,1,o,a,sacialisme,0,10,real,block1
prévision,prévision,prs,pré,vis,ion,prévision,target,p,0.0,0,p,d,drévision,0,9,real,block1
amalvame,amalvame,r,,amalgame,,amalgame,control,r,,4,g,v,amalvame,2,8,real,block1
inaedible,inaedible,prs,in,aud,ible,inaudible,target,r,,1,u,e,inaedible,2,9,real,block1
praiment,praiment,rs,,vrai,ment,vraiment,target,r,,0,v,p,praiment,2,8,real,block1
indagne,indagne,pr,in,digne,,indigne,target,r,,1,i,a,indagne,2,7,real,block1
custaud,costaud,r,,costaud,,costaud,control,r,,1,o,u,custaud,3,7,real,block1
sortie,sortoe,rs,,sort,ie,sortie,target,s,0.0,0,i,o,sortoe,1,6,real,block1
guirlande,guirlande,r,,guirlande,,guirlande,control,r,,0,g,p,puirlande,0,9,real,block1
chimpagne,champagne,r,,champagne,,champagne,control,r,,2,a,i,chimpagne,3,9,real,block1
eniquement,eniquement,rss,,un,ique_ment,uniquement,target,r,,0,u,e,eniquement,2,10,real,block1
