first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
dasod,dafod,pr,fod,da,,dafod,control,r,,0,f,s,dasod,3,5,pseudo,block1
nifodlatie,nifodlatie,prss,fod,ni,la_tié,nifodlatié,control,s,1.0,2,é,e,nifodlatie,2,10,pseudo,block1
lamlig,lamlif,pr,lif,lam,,lamlif,control,r,,2,f,g,lamlig,3,6,pseudo,block1
certival,certival,rss,cert,,iv_al,certival,target,r,,0,c,s,sertival,0,8,pseudo,block1
sédniripre,sédniripre,pprs,rid,séd_ni,re,sédniridre,control,r,,2,d,p,sédniripre,2,10,pseudo,block1
lanslatié,lanslatio,rss,lans,,la_tié,lanslatié,control,s,1.0,2,é,o,lanslatio,1,9,pseudo,block1
erédsôlc,erédsôlc,ppr,tôlc,er_éd,,erédtôlc,control,r,,0,t,s,erédsôlc,2,8,pseudo,block1
dyscrus,dyscrus,pr,crus,dys,,dyscrus,target,p,0.0,0,d,p,pyscrus,0,7,pseudo,block1
sédnilasrô,sédnilasre,pprs,las,séd_ni,re,sédnilasre,control,s,0.0,1,e,ô,sédnilasrô,3,10,pseudo,block1
maérprid,maérprid,ppr,rid,mi_érp,,miérprid,control,p,0.0,1,i,a,maérprid,2,8,pseudo,block1
enjuralité,injuralité,prss,jur,in,al_ité,injuralité,target,p,0.0,0,i,e,enjuralité,3,10,pseudo,block1
sunbul,sunbul,pr,bul,sur,,surbul,target,p,0.0,2,r,n,sunbul,2,6,pseudo,block1
tamitrec,tanitrec,pr,trec,tani,,tanitrec,control,p,0.0,2,n,m,tamitrec,3,8,pseudo,block1
sédnemélre,sédnamélre,pprs,mél,séd_ne,re,sédnemélre,control,p,1.0,1,e,a,sédnamélre,1,10,pseudo,block1
soucert,soucert,pr,cert,sou,,soucert,target,r,,3,t,s,soucers,0,7,pseudo,block1
rediriol,rediriol,prs,dir,re,ion,redirion,target,s,0.0,2,n,l,rediriol,2,8,pseudo,block1
tnon,tron,r,tron,,,tron,target,r,,1,r,n,tnon,3,4,pseudo,block1
répédreis,répédreig,ppr,reig,rép_éd,,répédreig,control,r,,3,g,s,répédreis,3,9,pseudo,block1
désincamen,désincamen,pprs,cam,dés_in,er,désincamer,target,s,0.0,1,r,n,désincamen,2,10,pseudo,block1
milasletié,milaslatié,prss,las,mi,le_tié,milasletié,control,s,0.0,1,e,a,milaslatié,1,10,pseudo,block1
répédnas,répédnas,ppr,nas,rép_éd,,répédnas,control,r,,0,n,l,répédlas,0,8,pseudo,block1
irdoul,irdoul,pr,doul,im,,imdoul,target,p,0.0,1,m,r,irdoul,2,6,pseudo,block1
endofaire,endofaire,prs,dof,in,aire,indofaire,target,p,0.0,0,i,e,endofaire,2,9,pseudo,block1
tert,tert,r,tert,,,tert,target,r,,2,r,m,temt,0,4,pseudo,block1
hof,hof,r,dof,,,dof,target,r,,0,d,h,hof,2,3,pseudo,block1
tôlcequi,tôlsequi,rs,tôlc,,equi,tôlcequi,control,r,,3,c,s,tôlsequi,1,8,pseudo,block1
resanure,resarure,prs,san,re,ure,resanure,target,r,,2,n,r,resarure,1,8,pseudo,block1
jiisal,jaisal,rs,jais,,al,jaisal,target,r,,1,a,i,jiisal,3,6,pseudo,block1
rid,rid,r,rid,,,rid,control,r,,2,d,c,ric,0,3,pseudo,block1
miménvitié,miménvitié,prss,mél,mi,vi_tié,mimélvitié,control,r,,2,l,n,miménvitié,2,10,pseudo,block1
erméltaiin,erméltaiin,prss,mél,er,ta_oin,erméltaoin,control,s,1.0,0,o,i,erméltaiin,2,10,pseudo,block1
trencocid,trencocid,pr,cid,trenco,,trencocid,control,p,0.0,4,c,s,trensocid,0,9,pseudo,block1
nasni,nasni,rs,nas,,ni,nasni,control,s,0.0,0,n,r,nasri,0,5,pseudo,block1
nirajlatié,nirajlatié,prss,ruj,ni,la_tié,nirujlatié,control,r,,1,u,a,nirajlatié,2,10,pseudo,block1
tôlc,tôlc,r,tôlc,,,tôlc,control,r,,0,t,b,bôlc,0,4,pseudo,block1
diramment,diramment,rss,dir,,am_ment,diramment,target,r,,2,r,l,dilamment,0,9,pseudo,block1
incamivité,incamivité,prss,cam,in,iv_ité,incamivité,target,p,0.0,0,i,e,encamivité,0,10,pseudo,block1
mimac,mimac,pr,mac,mi,,mimac,control,p,0.0,1,i,e,memac,0,5,pseudo,block1
impréjur,imprénur,ppr,jur,im_pré,,impréjur,target,r,,0,j,n,imprénur,1,8,pseudo,block1
dicant,dicant,rs,dic,,ant,dicant,target,r,,0,d,s,sicant,0,6,pseudo,block1
sédnenasre,sédnenasre,pprs,nas,séd_ne,re,sédnenasre,control,r,,1,a,e,sédnenesre,0,10,pseudo,block1
san,sam,r,san,,,san,target,r,,2,n,m,sam,1,3,pseudo,block1
clôteuse,clôteusa,rs,clôt,,euse,clôteuse,target,s,0.0,3,e,a,clôteusa,1,8,pseudo,block1
osumac,osumac,pr,mac,osu,,osumac,control,r,,0,m,n,osunac,0,6,pseudo,block1
rusnenas,rusnenap,ppr,nas,rus_ne,,rusnenas,control,r,,2,s,p,rusnenap,1,8,pseudo,block1
pioclaisem,pioclaisem,rss,tioc,,la_isem,tioclaisem,control,r,,0,t,p,pioclaisem,2,10,pseudo,block1
nilubnemt,nilubnemt,prs,lub,ni,nemt,nilubnemt,control,s,0.0,0,n,r,nilubremt,0,9,pseudo,block1
