first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
redédofage,rededofage,pprs,dof,re_dé,age,redédofage,target,p,1.0,1,é,e,rededofage,1,10,pseudo,block1
irsalelité,insalelité,prss,sal,in,el_ité,insalelité,target,p,0.0,1,n,r,irsalelité,3,10,pseudo,block1
redejaun,redejaun,ppr,jaun,re_dé,,redéjaun,target,p,1.0,1,é,e,redejaun,2,8,pseudo,block1
jeunalité,jeunalité,rss,jaun,,al_ité,jaunalité,target,r,,1,a,e,jeunalité,2,9,pseudo,block1
redéfilate,redéfilage,pprs,fil,re_dé,age,redéfilage,target,s,0.0,1,g,t,redéfilate,3,10,pseudo,block1
trencosurc,trencodurc,pr,surc,trenco,,trencosurc,control,r,,0,s,d,trencodurc,1,10,pseudo,block1
miérptôlc,miérptôlc,ppr,tôlc,mi_érp,,miérptôlc,control,r,,3,c,t,miérptôlt,0,9,pseudo,block1
sédnimacre,pédnimacre,pprs,mac,séd_ni,re,sédnimacre,control,p,0.0,0,s,p,pédnimacre,1,10,pseudo,block1
luutét,léutét,rs,léut,,ét,léutét,control,r,,1,é,u,luutét,3,6,pseudo,block1
disenlémer,disenlémer,pprs,lém,dés_en,er,désenlémer,target,p,0.0,1,é,i,disenlémer,2,10,pseudo,block1
tnetvila,tretvila,rss,tret,,vi_la,tretvila,control,r,,1,r,n,tnetvila,3,8,pseudo,block1
tuél,tuén,r,tuél,,,tuél,target,r,,3,l,n,tuén,1,4,pseudo,block1
sédnelasre,sédnelasre,pprs,las,séd_ne,re,sédnelasre,control,r,,0,l,j,sédnejasre,0,10,pseudo,block1
gieroble,gierable,rs,gier,,able,gierable,target,s,0.0,0,a,o,gieroble,3,8,pseudo,block1
reigre,reigre,rs,reig,,re,reigre,control,s,0.0,0,r,n,reigne,0,6,pseudo,block1
tloc,troc,r,troc,,,troc,control,r,,1,r,l,tloc,3,4,pseudo,block1
recaration,recamation,prss,cam,re,at_ion,recamation,target,r,,2,m,r,recaration,3,10,pseudo,block1
nilaslatié,nilaslatié,prss,las,ni,la_tié,nilaslatié,control,s,0.0,0,l,n,nilasnatié,0,10,pseudo,block1
inbulihité,inbulivité,prss,bul,in,iv_ité,inbulivité,target,s,0.0,1,v,h,inbulihité,3,10,pseudo,block1
resnalure,resnalure,prs,snal,re,ure,resnalure,target,p,0.0,0,r,n,nesnalure,0,9,pseudo,block1
décort,ducort,pr,cort,dé,,décort,target,p,0.0,1,é,u,ducort,1,6,pseudo,block1
mém,mél,r,mél,,,mél,control,r,,2,l,m,mém,3,3,pseudo,block1
lisarie,lifarie,rs,lif,,arie,lifarie,control,r,,2,f,s,lisarie,3,7,pseudo,block1
désinfiler,désinsiler,pprs,fil,dés_in,er,désinfiler,target,r,,0,f,s,désinsiler,1,10,pseudo,block1
milifletia,milifletié,prss,lif,mi,le_tié,milifletié,control,s,1.0,2,é,a,milifletia,3,10,pseudo,block1
désinsaler,désinsaner,pprs,sal,dés_in,er,désinsaler,target,r,,2,l,n,désinsaner,1,10,pseudo,block1
luj,luj,r,ruj,,,ruj,control,r,,0,r,l,luj,2,3,pseudo,block1
désenfiner,désenfiner,pprs,fil,dés_en,er,désenfiler,target,r,,2,l,n,désenfiner,2,10,pseudo,block1
riigisem,reigisem,rs,reig,,isem,reigisem,control,r,,1,e,i,riigisem,3,8,pseudo,block1
pourfoir,courfoir,pr,foir,pour,,pourfoir,target,p,0.0,0,p,c,courfoir,1,8,pseudo,block1
mimélvitié,mimélvitié,prss,mél,mi,vi_tié,mimélvitié,control,s,1.0,0,t,f,mimélvifié,0,10,pseudo,block1
erédluqeag,erédlubeag,pprs,lub,er_éd,eag,erédlubeag,control,r,,2,b,q,erédluqeag,3,10,pseudo,block1
foiralisme,foirelisme,rss,foir,,al_isme,foiralisme,target,s,0.0,0,a,e,foirelisme,1,10,pseudo,block1
sédnifodré,sédnifodré,pprs,fod,séd_ni,re,sédnifodre,control,s,0.0,1,e,é,sédnifodré,2,10,pseudo,block1
milifalbe,milifalbe,prs,lif,ni,albe,nilifalbe,control,p,0.0,0,n,m,milifalbe,2,9,pseudo,block1
sédninasre,sodninasre,pprs,nas,séd_ni,re,sédninasre,control,p,0.0,1,é,o,sodninasre,1,10,pseudo,block1
dur,dir,r,dir,,,dir,target,r,,1,i,u,dur,3,3,pseudo,block1
ropmél,ropmél,pr,mél,rop,,ropmél,control,r,,2,l,j,ropméj,0,6,pseudo,block1
rusnenort,rusnenort,ppr,nort,rus_ne,,rusnenort,control,r,,0,n,l,rusnelort,0,9,pseudo,block1
nortvitié,nartvitié,rss,nort,,vi_tié,nortvitié,control,r,,1,o,a,nartvitié,1,9,pseudo,block1
sédnemélre,sédnemélre,pprs,mél,séd_ne,re,sédnemélre,control,p,0.0,0,s,c,cédnemélre,0,10,pseudo,block1
teidinnole,toidinnole,rss,toid,,inno_le,toidinnole,control,r,,1,o,e,teidinnole,3,10,pseudo,block1
jaunisme,jaunipme,rs,jaun,,isme,jaunisme,target,s,0.0,1,s,p,jaunipme,1,8,pseudo,block1
corteuse,corteusu,rs,cort,,euse,corteuse,target,s,0.0,3,e,u,corteusu,1,8,pseudo,block1
errajtaoin,errujtaoin,prss,ruj,er,ta_oin,errujtaoin,control,r,,1,u,a,errajtaoin,3,10,pseudo,block1
désinjumer,désinjurer,pprs,jur,dés_in,er,désinjurer,target,r,,2,r,m,désinjumer,3,10,pseudo,block1
rusneloup,rusneloud,ppr,loud,rus_ne,,rusneloud,control,r,,3,d,p,rusneloup,3,9,pseudo,block1
erédrideag,erédrideag,pprs,rid,er_éd,eag,erédrideag,control,s,0.0,0,e,i,erédridiag,0,10,pseudo,block1
erédcideag,erédciteag,pprs,cid,er_éd,eag,erédcideag,control,r,,2,d,t,erédciteag,1,10,pseudo,block1
nifodilbe,nifodalbe,prs,fod,ni,albe,nifodalbe,control,s,0.0,0,a,i,nifodilbe,3,9,pseudo,block1
nasarie,nasarie,rs,nas,,arie,nasarie,control,s,0.0,2,i,o,nasaroe,0,7,pseudo,block1
imprédoul,imprédoul,ppr,doul,im_pré,,imprédoul,target,p,0.0,1,m,n,inprédoul,0,9,pseudo,block1
toid,teid,r,toid,,,toid,control,r,,1,o,e,teid,1,4,pseudo,block1
osunauj,opunauj,pr,nauj,osu,,osunauj,control,p,0.0,1,s,p,opunauj,1,7,pseudo,block1
saejinnole,saejinnole,rss,saij,,inno_le,saijinnole,control,r,,2,i,e,saejinnole,2,10,pseudo,block1
intircoit,intercoit,pr,coit,inter,,intercoit,target,p,0.0,3,e,i,intircoit,3,9,pseudo,block1
las,nas,r,las,,,las,control,r,,0,l,n,nas,1,3,pseudo,block1
trocmamemt,trocmamemt,rss,troc,,ma_nemt,trocmanemt,control,s,1.0,0,n,m,trocmamemt,2,10,pseudo,block1
redédicaze,redédicage,pprs,dic,re_dé,age,redédicage,target,s,0.0,1,g,z,redédicaze,3,10,pseudo,block1
lifeist,lifeist,rs,lif,,eist,lifeist,control,s,0.0,3,t,s,lifeiss,0,7,pseudo,block1
nipelmfi,lipelmfi,prs,pelm,ni,fi,nipelmfi,control,p,0.0,0,n,l,lipelmfi,1,8,pseudo,block1
sanivita,sanivité,rss,san,,iv_ité,sanivité,target,s,1.0,2,é,a,sanivita,3,8,pseudo,block1
désinsaner,césinsaner,pprs,san,dés_in,er,désinsaner,target,p,0.0,0,d,c,césinsaner,1,10,pseudo,block1
laslaeist,laslaeist,rss,las,,la_eist,laslaeist,control,s,0.0,1,a,e,lasleeist,0,9,pseudo,block1
tretare,treture,rs,tret,,ure,treture,control,s,0.0,0,u,a,tretare,3,7,pseudo,block1
roqulaeist,roqulaeist,rss,roqu,,la_eist,roqulaeist,control,r,,1,o,e,requlaeist,0,10,pseudo,block1
erédnasèag,erédnasèag,pprs,nas,er_éd,eag,erédnaseag,control,s,0.0,0,e,è,erédnasèag,2,10,pseudo,block1
filivite,filivite,rss,fil,,iv_ité,filivité,target,s,1.0,2,é,e,filivite,2,8,pseudo,block1
incmusable,incrusable,prs,crus,in,able,incrusable,target,r,,1,r,m,incmusable,3,10,pseudo,block1
contrejais,contrejais,pr,jais,contre,,contrejais,target,r,,3,s,v,contrejaiv,0,10,pseudo,block1
dofif,dofif,rs,dof,,if,dofif,target,r,,2,f,v,dovif,0,5,pseudo,block1
sédnirujre,sédnirujre,pprs,ruj,séd_ni,re,sédnirujre,control,r,,1,u,é,sédniréjre,0,10,pseudo,block1
imprédof,irprédof,ppr,dof,im_pré,,imprédof,target,p,0.0,1,m,r,irprédof,1,8,pseudo,block1
quoriste,qéoriste,rs,quor,,iste,quoriste,target,r,,1,u,é,qéoriste,1,8,pseudo,block1
édvértuist,édvérteist,prs,vért,éd,eist,édvérteist,control,s,0.0,0,e,u,édvértuist,3,10,pseudo,block1
neig,neig,r,reig,,,reig,control,r,,0,r,n,neig,2,4,pseudo,block1
indiralité,indiralité,prss,dir,in,al_ité,indiralité,target,s,0.0,0,a,u,indirulité,0,10,pseudo,block1
nort,norb,r,nort,,,nort,control,r,,3,t,b,norb,1,4,pseudo,block1
nilubarie,nilabarie,prs,lub,ni,arie,nilubarie,control,r,,1,u,a,nilabarie,1,9,pseudo,block1
