first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
tertival,tertaval,rss,tert,,iv_al,tertival,target,s,0.0,0,i,a,tertaval,1,8,pseudo,block1
micicletié,micidletié,prss,cid,mi,le_tié,micidletié,control,r,,2,d,c,micicletié,3,10,pseudo,block1
erléutta,érléutta,prs,léut,er,ta,erléutta,control,p,0.0,0,e,é,érléutta,1,8,pseudo,block1
nortmanemt,nortmanemt,rss,nort,,ma_nemt,nortmanemt,control,r,,2,r,j,nojtmanemt,0,10,pseudo,block1
emédrid,emédrid,ppr,rid,er_éd,,erédrid,control,p,0.0,1,r,m,emédrid,2,7,pseudo,block1
plum,plem,r,plem,,,plem,target,r,,2,e,u,plum,3,4,pseudo,block1
intronel,intronel,prs,tron,in,el,intronel,target,r,,3,n,r,introrel,0,8,pseudo,block1
nosoinarie,nosoinarie,rss,nas,,oin_arie,nasoinarie,control,r,,1,a,o,nosoinarie,2,10,pseudo,block1
trencoreig,trencoraig,pr,reig,trenco,,trencoreig,control,r,,1,e,a,trencoraig,1,10,pseudo,block1
dédoul,dodoul,pr,doul,dé,,dédoul,target,p,0.0,1,é,o,dodoul,1,6,pseudo,block1
macein,macein,rs,mac,,oin,macoin,control,s,0.0,0,o,e,macein,2,6,pseudo,block1
erédmoleag,erédmoleag,pprs,mél,er_éd,eag,erédméleag,control,r,,1,é,o,erédmoleag,2,10,pseudo,block1
riroquoin,riroquoin,prs,roqu,ni,oin,niroquoin,control,p,0.0,0,n,r,riroquoin,2,9,pseudo,block1
salalité,selalité,rss,sal,,al_ité,salalité,target,r,,1,a,e,selalité,1,8,pseudo,block1
erédlubeag,erédlubeag,pprs,lub,er_éd,eag,erédlubeag,control,p,0.0,0,e,o,orédlubeag,0,10,pseudo,block1
tretmanemt,tresmanemt,rss,tret,,ma_nemt,tretmanemt,control,r,,3,t,s,tresmanemt,1,10,pseudo,block1
enquor,anquor,pr,quor,en,,enquor,target,p,0.0,0,e,a,anquor,1,6,pseudo,block1
sanionnel,sanionnel,rss,san,,ionn_el,sanionnel,target,s,0.0,0,i,e,saneonnel,0,9,pseudo,block1
lenslaisem,lanslaisem,rss,lans,,la_isem,lanslaisem,control,r,,1,a,e,lenslaisem,3,10,pseudo,block1
octrec,octrec,pr,trec,oc,,octrec,control,p,0.0,1,c,t,ottrec,0,6,pseudo,block1
gioc,gioc,r,tioc,,,tioc,control,r,,0,t,g,gioc,2,4,pseudo,block1
nerujeag,nerujeug,prs,ruj,ne,eag,nerujeag,control,s,0.0,1,a,u,nerujeug,1,8,pseudo,block1
rusnedelm,rusnepelm,ppr,pelm,rus_ne,,rusnepelm,control,r,,0,p,d,rusnedelm,3,9,pseudo,block1
miérptiuc,miérptiuc,ppr,tioc,mi_érp,,miérptioc,control,r,,2,o,u,miérptiuc,2,9,pseudo,block1
dicaliste,dicaliste,rss,dic,,al_iste,dicaliste,target,s,0.0,0,a,o,dicoliste,0,9,pseudo,block1
nubvila,nubvila,rss,lub,,vi_la,lubvila,control,r,,0,l,n,nubvila,2,7,pseudo,block1
codir,cadir,pr,dir,co,,codir,target,p,0.0,1,o,a,cadir,1,5,pseudo,block1
désendofer,désendofel,pprs,dof,dés_en,er,désendofer,target,s,0.0,1,r,l,désendofel,1,10,pseudo,block1
rejuration,rejuration,prss,jur,re,at_ion,rejuration,target,p,0.0,1,e,o,rojuration,0,10,pseudo,block1
léutisen,léutisen,rs,léut,,isem,léutisem,control,s,0.0,3,m,n,léutisen,2,8,pseudo,block1
macevinemt,macevinemt,rss,mac,,evi_nemt,macevinemt,control,r,,0,m,n,nacevinemt,0,10,pseudo,block1
cortalité,certalité,rss,cort,,al_ité,cortalité,target,r,,1,o,e,certalité,1,9,pseudo,block1
jaisalisme,raisalisme,rss,jais,,al_isme,jaisalisme,target,r,,0,j,r,raisalisme,1,10,pseudo,block1
injaunude,enjaunude,prs,jaun,in,ude,injaunude,target,p,0.0,0,i,e,enjaunude,1,9,pseudo,block1
nimélle,nimélle,prs,mél,ni,le,nimélle,control,s,0.0,0,l,r,nimélre,0,7,pseudo,block1
ésfod,ésfod,pr,fod,éd,,édfod,control,p,0.0,1,d,s,ésfod,2,5,pseudo,block1
roifre,roifra,rs,roif,,re,roifre,control,s,0.0,1,e,a,roifra,1,6,pseudo,block1
réploudoin,réploudoil,prs,loud,rép,oin,réploudoin,control,s,0.0,2,n,l,réploudoil,1,10,pseudo,block1
corpité,corpité,rs,cort,,ité,cortité,target,r,,3,t,p,corpité,2,7,pseudo,block1
rusnelas,rusnelas,ppr,las,rus_ne,,rusnelas,control,r,,0,l,m,rusnemas,0,8,pseudo,block1
lamléus,lamléut,pr,léut,lam,,lamléut,control,r,,3,t,s,lamléus,3,7,pseudo,block1
édsaij,édsoij,pr,saij,éd,,édsaij,control,r,,1,a,o,édsoij,1,6,pseudo,block1
prérefir,prérefir,ppr,fil,pré_re,,prérefil,target,r,,2,l,r,prérefir,2,8,pseudo,block1
mefilation,mefilation,prss,fil,re,at_ion,refilation,target,p,0.0,0,r,m,mefilation,2,10,pseudo,block1
las,lav,r,las,,,las,control,r,,2,s,v,lav,1,3,pseudo,block1
jimaclatié,nimaclatié,prss,mac,ni,la_tié,nimaclatié,control,p,0.0,0,n,j,jimaclatié,3,10,pseudo,block1
maltert,malgert,pr,tert,mal,,maltert,target,r,,0,t,g,malgert,1,7,pseudo,block1
retuélore,retuélure,prs,tuél,re,ure,retuélure,target,s,0.0,0,u,o,retuélore,3,9,pseudo,block1
narièntan,narièntan,prs,rièn,ne,tan,nerièntan,control,p,0.0,1,e,a,narièntan,2,9,pseudo,block1
tret,tred,r,tret,,,tret,control,r,,3,t,d,tred,1,4,pseudo,block1
roun,roun,r,roun,,,roun,control,r,,3,n,m,roum,0,4,pseudo,block1
erédmaseag,erédmaseag,pprs,mac,er_éd,eag,erédmaceag,control,r,,2,c,s,erédmaseag,2,10,pseudo,block1
pméclôt,pméclôt,pr,clôt,pré,,préclôt,target,p,0.0,1,r,m,pméclôt,2,7,pseudo,block1
contresar,contresan,pr,san,contre,,contresan,target,r,,2,n,r,contresar,3,9,pseudo,block1
nilublatie,nilublatié,prss,lub,ni,la_tié,nilublatié,control,s,1.0,2,é,e,nilublatie,3,10,pseudo,block1
naujla,naajla,rs,nauj,,la,naujla,control,r,,2,u,a,naajla,1,6,pseudo,block1
intuélel,irtuélel,prs,tuél,in,el,intuélel,target,p,0.0,1,n,r,irtuélel,1,8,pseudo,block1
gier,qier,r,gier,,,gier,target,r,,0,g,q,qier,1,4,pseudo,block1
trencolif,trencoluf,pr,lif,trenco,,trencolif,control,r,,1,i,u,trencoluf,1,9,pseudo,block1
sédrecidre,sédrecidre,pprs,cid,séd_ne,re,sédnecidre,control,p,1.0,0,n,r,sédrecidre,2,10,pseudo,block1
irterclôt,irterclôt,pr,clôt,inter,,interclôt,target,p,0.0,1,n,r,irterclôt,2,9,pseudo,block1
engiorade,engierade,prs,gier,en,ade,engierade,target,r,,2,e,o,engiorade,3,9,pseudo,block1
rid,nid,r,rid,,,rid,control,r,,0,r,n,nid,1,3,pseudo,block1
encentant,encentant,prs,cert,en,ant,encertant,target,r,,2,r,n,encentant,2,9,pseudo,block1
désinsaler,désinsaler,pprs,sal,dés_in,er,désinsaler,target,r,,0,s,v,désinvaler,0,10,pseudo,block1
érpermac,érpermac,ppr,mac,érp_er,,érpermac,control,r,,2,c,s,érpermas,0,8,pseudo,block1
cerc,cert,r,cert,,,cert,target,r,,3,t,c,cerc,3,4,pseudo,block1
trével,trével,rs,trév,,er,tréver,target,s,0.0,1,r,l,trével,2,6,pseudo,block1
loud,laud,r,loud,,,loud,control,r,,1,o,a,laud,1,4,pseudo,block1
sédnesodre,sédnefodre,pprs,fod,séd_ne,re,sédnefodre,control,r,,0,f,s,sédnesodre,3,10,pseudo,block1
nemec,nemec,pr,mac,ne,,nemac,control,r,,1,a,e,nemec,2,5,pseudo,block1
snalant,snalant,rs,snal,,ant,snalant,target,r,,2,a,o,snolant,0,7,pseudo,block1
ninaujoon,ninaujoin,prs,nauj,ni,oin,ninaujoin,control,s,0.0,1,i,o,ninaujoon,3,9,pseudo,block1
trec,trec,r,trec,,,trec,control,r,,0,t,f,frec,0,4,pseudo,block1
vértfi,vértfi,rs,vért,,fi,vértfi,control,s,0.0,1,i,a,vértfa,0,6,pseudo,block1
tôls,tôls,r,tôlc,,,tôlc,control,r,,3,c,s,tôls,2,4,pseudo,block1
rounlatié,roumlatié,rss,roun,,la_tié,rounlatié,control,r,,3,n,m,roumlatié,1,9,pseudo,block1
intercuél,intertuél,pr,tuél,inter,,intertuél,target,r,,0,t,c,intercuél,3,9,pseudo,block1
loqu,loqu,r,roqu,,,roqu,control,r,,0,r,l,loqu,2,4,pseudo,block1
indicivité,imdicivité,prss,dic,in,iv_ité,indicivité,target,p,0.0,1,n,m,imdicivité,1,10,pseudo,block1
fir,fil,r,fil,,,fil,target,r,,2,l,r,fir,3,3,pseudo,block1
loupnet,loudnet,rs,loud,,net,loudnet,control,r,,3,d,p,loupnet,3,7,pseudo,block1
reiginnoli,reiginnole,rss,reig,,inno_le,reiginnole,control,s,1.0,1,e,i,reiginnoli,3,10,pseudo,block1
tanireig,tanireig,pr,reig,tani,,tanireig,control,r,,1,e,u,taniruig,0,8,pseudo,block1
redédirage,redédirago,pprs,dir,re_dé,age,redédirage,target,s,0.0,2,e,o,redédirago,1,10,pseudo,block1
mifodvitié,rifodvitié,prss,fod,mi,vi_tié,mifodvitié,control,p,0.0,0,m,r,rifodvitié,1,10,pseudo,block1
cocrus,cocrus,pr,crus,co,,cocrus,target,p,0.0,1,o,é,cécrus,0,6,pseudo,block1
rounta,rounta,rs,roun,,ta,rounta,control,s,0.0,1,a,i,rounti,0,6,pseudo,block1
errujtaoin,errujcaoin,prss,ruj,er,ta_oin,errujtaoin,control,s,0.0,0,t,c,errujcaoin,1,10,pseudo,block1
quor,cuor,r,quor,,,quor,target,r,,0,q,c,cuor,1,4,pseudo,block1
surenplem,surenpler,ppr,plem,sur_en,,surenplem,target,r,,3,m,r,surenpler,1,9,pseudo,block1
dirionaire,dirionaire,rss,dir,,ion_aire,dirionaire,target,r,,1,i,a,darionaire,0,10,pseudo,block1
roqune,roqune,rs,roqu,,re,roqure,control,s,0.0,0,r,n,roqune,2,6,pseudo,block1
répmél,répmér,pr,mél,rép,,répmél,control,r,,2,l,r,répmér,1,6,pseudo,block1
impréjais,imsréjais,ppr,jais,im_pré,,impréjais,target,p,1.0,0,p,s,imsréjais,1,9,pseudo,block1
désendicer,désendacer,pprs,dic,dés_en,er,désendicer,target,r,,1,i,a,désendacer,1,10,pseudo,block1
nilifedu,nilifedu,prs,lif,ni,edu,nilifedu,control,p,0.0,1,i,a,nalifedu,0,8,pseudo,block1
répsaijoin,répsaijoin,prs,saij,rép,oin,répsaijoin,control,s,0.0,1,i,e,répsaijoen,0,10,pseudo,block1
niliflatié,niliflatié,prss,lif,ni,la_tié,niliflatié,control,r,,2,f,t,nilitlatié,0,10,pseudo,block1
redéjurade,redéjurage,pprs,jur,re_dé,age,redéjurage,target,s,0.0,1,g,d,redéjurade,3,10,pseudo,block1
imprécoit,imprécois,ppr,coit,im_pré,,imprécoit,target,r,,3,t,s,imprécois,1,9,pseudo,block1
rodétuél,redétuél,ppr,tuél,re_dé,,redétuél,target,p,0.0,1,e,o,rodétuél,3,8,pseudo,block1
erédfodeag,erédfodeag,pprs,fod,er_éd,eag,erédfodeag,control,p,1.0,1,d,p,erépfodeag,0,10,pseudo,block1
désendirer,désendirer,pprs,dir,dés_en,er,désendirer,target,s,0.0,0,e,a,désendirar,0,10,pseudo,block1
resalation,resalation,prss,sal,re,at_ion,resalation,target,r,,1,a,e,reselation,0,10,pseudo,block1
redudic,redédic,ppr,dic,re_dé,,redédic,target,p,1.0,1,é,u,redudic,3,7,pseudo,block1
dofen,dofin,rs,dof,,in,dofin,target,s,0.0,0,i,e,dofen,3,5,pseudo,block1
toidlaeist,toidlaeisp,rss,toid,,la_eist,toidlaeist,control,s,1.0,3,t,p,toidlaeisp,1,10,pseudo,block1
erédlif,erédlif,ppr,lif,er_éd,,erédlif,control,p,0.0,1,r,m,emédlif,0,7,pseudo,block1
dénour,dénour,pr,nour,dé,,dénour,target,r,,3,r,n,dénoun,0,6,pseudo,block1
désenjurer,désenjurer,pprs,jur,dés_en,er,désenjurer,target,r,,0,j,r,désenrurer,0,10,pseudo,block1
inlémiviti,inlémivité,prss,lém,in,iv_ité,inlémivité,target,s,1.0,2,é,i,inlémiviti,3,10,pseudo,block1
buleur,buleur,rs,bul,,eur,buleur,target,r,,1,u,e,beleur,0,6,pseudo,block1
sicamment,sicamment,rss,dic,,am_ment,dicamment,target,r,,0,d,s,sicamment,2,9,pseudo,block1
redéfilage,redéfilage,pprs,fil,re_dé,age,redéfilage,target,s,0.0,2,e,i,redéfilagi,0,10,pseudo,block1
véytvitié,véytvitié,rss,vért,,vi_tié,vértvitié,control,r,,2,r,y,véytvitié,2,9,pseudo,block1
jusnereig,jusnereig,ppr,reig,rus_ne,,rusnereig,control,p,0.0,0,r,j,jusnereig,2,9,pseudo,block1
indofisité,indofisité,prss,dof,in,iv_ité,indofivité,target,s,0.0,1,v,s,indofisité,2,10,pseudo,block1
snalivité,snalivité,rss,snal,,iv_ité,snalivité,target,s,0.0,0,i,e,snalevité,0,9,pseudo,block1
reig,reig,r,reig,,,reig,control,r,,2,i,a,reag,0,4,pseudo,block1
lormal,normal,rs,norm,,al,normal,target,r,,0,n,l,lormal,3,6,real,block2
hiérerchie,hiérarchie,r,hiérarchie,,,hiérarchie,control,r,,4,a,e,hiérerchie,3,10,real,block2
prothèse,proshèse,r,prothèse,,,prothèse,control,r,,3,t,s,proshèse,1,8,real,block2
deuxaème,deuxième,rs,deux,,ième,deuxième,target,s,0.0,0,i,a,deuxaème,3,8,real,block2
bataille,bataille,r,bataille,,,bataille,control,r,,2,t,p,bapaille,0,8,real,block2
asthne,asthme,r,asthme,,,asthme,control,r,,4,m,n,asthne,3,6,real,block2
langousse,langousse,r,langouste,,,langouste,control,r,,7,t,s,langousse,2,9,real,block2
srincipe,principe,r,principe,,,principe,control,r,,0,p,s,srincipe,3,8,real,block2
diplomate,diplomate,r,diplomate,,,diplomate,control,r,,7,t,d,diplomade,0,9,real,block2
démontru,démontre,pr,montre,dé,,démontre,target,r,,5,e,u,démontru,3,8,real,block2
aussi,eussi,r,aussi,,,aussi,control,r,,0,a,e,eussi,1,5,real,block2
envol,entol,pr,vol,en,,envol,target,r,,0,v,t,entol,1,5,real,block2
indolole,indolole,prs,dol,in,ore,indolore,target,s,0.0,1,r,l,indolole,2,8,real,block2
personnel,personrel,rs,personn,,el,personnel,target,r,,6,n,r,personrel,1,9,real,block2
pantoifle,pantoifle,r,pantoufle,,,pantoufle,control,r,,5,u,i,pantoifle,2,9,real,block2
infrurouge,infrarouge,pr,rouge,infra,,infrarouge,target,p,0.0,4,a,u,infrurouge,3,10,real,block2
décompose,décomposa,pr,compose,dé,,décompose,target,r,,6,e,a,décomposa,1,9,real,block2
vinaisre,vinaigre,r,vinaigre,,,vinaigre,control,r,,5,g,s,vinaisre,3,8,real,block2
dosespoir,désespoir,pr,espoir,dés,,désespoir,target,p,0.0,1,é,o,dosespoir,3,9,real,block2
coqueluche,coqueluche,r,coqueluche,,,coqueluche,control,r,,4,e,o,coquoluche,0,10,real,block2
grenase,grenade,r,grenade,,,grenade,control,r,,5,d,s,grenase,3,7,real,block2
brouhaha,broehaha,r,brouhaha,,,brouhaha,control,r,,3,u,e,broehaha,1,8,real,block2
juspice,juspice,rs,just,,ice,justice,target,r,,3,t,p,juspice,2,7,real,block2
relire,relire,pr,lire,re,,relire,target,r,,3,e,i,reliri,0,6,real,block2
dénudo,dénudo,prs,nu,dé,dé,dénudé,target,s,0.0,1,é,o,dénudo,2,6,real,block2
liturgie,liturtie,r,liturgie,,,liturgie,control,r,,5,g,t,liturtie,1,8,real,block2
ruliure,reliure,prs,li,re,ure,reliure,target,p,0.0,1,e,u,ruliure,3,7,real,block2
sarabande,sarabande,r,sarabande,,,sarabande,control,r,,7,d,q,sarabanqe,0,9,real,block2
recouterte,recouverte,pr,couverte,re,,recouverte,target,r,,3,v,t,recouterte,3,10,real,block2
préalable,préalahle,r,préalable,,,préalable,control,r,,6,b,h,préalahle,1,9,real,block2
mergarine,margarine,r,margarine,,,margarine,control,r,,1,a,e,mergarine,3,9,real,block2
puartier,puartier,rs,quart,,ier,quartier,target,r,,0,q,p,puartier,2,8,real,block2
privilègi,privilègi,r,privilège,,,privilège,control,r,,8,e,i,privilègi,2,9,real,block2
déplaare,déplaare,pr,plaire,dé,,déplaire,target,r,,3,i,a,déplaare,2,8,real,block2
dégoût,dagoût,pr,goût,dé,,dégoût,target,p,0.0,1,é,a,dagoût,1,6,real,block2
cachumire,cachemire,r,cachemire,,,cachemire,control,r,,4,e,u,cachumire,3,9,real,block2
piscenlit,piscenlit,r,pissenlit,,,pissenlit,control,r,,3,s,c,piscenlit,2,9,real,block2
urgense,urgense,rs,urg,,ence,urgence,target,s,0.0,2,c,s,urgense,2,7,real,block2
carrosse,carlosse,r,carrosse,,,carrosse,control,r,,3,r,l,carlosse,1,8,real,block2
bravo,bravo,r,bravo,,,bravo,control,r,,0,b,x,xravo,0,5,real,block2
pingouin,pingouén,r,pingouin,,,pingouin,control,r,,6,i,é,pingouén,1,8,real,block2
jamais,jamais,r,jamais,,,jamais,control,r,,4,i,à,jamaàs,0,6,real,block2
spaghesti,spaghetti,r,spaghetti,,,spaghetti,control,r,,6,t,s,spaghesti,3,9,real,block2
concombre,concombre,r,concombre,,,concombre,control,r,,8,e,i,concombri,0,9,real,block2
gremier,grenier,r,grenier,,,grenier,control,r,,3,n,m,gremier,3,7,real,block2
accessoire,iccessoire,r,accessoire,,,accessoire,control,r,,0,a,i,iccessoire,1,10,real,block2
joueer,joueur,rs,jou,,eur,joueur,target,s,0.0,1,u,e,joueer,3,6,real,block2
prouesse,srouesse,r,prouesse,,,prouesse,control,r,,0,p,s,srouesse,1,8,real,block2
contrah,contrat,r,contrat,,,contrat,control,r,,6,t,h,contrah,3,7,real,block2
coltex,cortex,r,cortex,,,cortex,control,r,,2,r,l,coltex,3,6,real,block2
puinteur,puanteur,rss,pu,,ant_eur,puanteur,target,s,0.0,0,a,i,puinteur,3,8,real,block2
local,losal,r,local,,,local,control,r,,2,c,s,losal,1,5,real,block2
gourmand,gourmand,r,gourmand,,,gourmand,control,r,,7,d,p,gourmanp,0,8,real,block2
vitalité,vitalité,rss,vit,,al_ité,vitalité,target,s,1.0,0,i,e,vitaleté,0,8,real,block2
endurance,endurance,prs,dur,en,ance,endurance,target,r,,2,r,n,endunance,0,9,real,block2
genial,genial,rs,géni,,al,génial,target,r,,1,é,e,genial,2,6,real,block2
encorrect,incorrect,pr,correct,in,,incorrect,target,p,0.0,0,i,e,encorrect,3,9,real,block2
merserie,mercerie,r,mercerie,,,mercerie,control,r,,3,c,s,merserie,3,8,real,block2
ambassade,amtassade,r,ambassade,,,ambassade,control,r,,2,b,t,amtassade,1,9,real,block2
aissalle,aissalle,r,aisselle,,,aisselle,control,r,,4,e,a,aissalle,2,8,real,block2
sûrement,sûremejt,rs,sûre,,ment,sûrement,target,s,0.0,2,n,j,sûremejt,1,8,real,block2
elsuite,ensuite,pr,suite,en,,ensuite,target,p,0.0,1,n,l,elsuite,3,7,real,block2
incroyacle,incroyable,prs,croy,in,able,incroyable,target,s,0.0,1,b,c,incroyacle,3,10,real,block2
