first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
désirbuler,désinbuler,pprs,bul,dés_in,er,désinbuler,target,p,1.0,1,n,r,désirbuler,3,10,pseudo,block1
rém,rém,r,lém,,,lém,target,r,,0,l,r,rém,2,3,pseudo,block1
décnalisme,désnalisme,prs,snal,dé,isme,désnalisme,target,r,,0,s,c,décnalisme,3,10,pseudo,block1
désenlémer,désenlémer,pprs,lém,dés_en,er,désenlémer,target,p,0.0,2,s,p,dépenlémer,0,10,pseudo,block1
miérproun,miérproun,ppr,roun,mi_érp,,miérproun,control,p,1.0,2,p,s,miérsroun,0,9,pseudo,block1
nirenticid,nirentitid,ppr,cid,ni_renti,,nirenticid,control,r,,0,c,t,nirentitid,1,10,pseudo,block1
infilivité,intilivité,prss,fil,in,iv_ité,infilivité,target,r,,0,f,t,intilivité,1,10,pseudo,block1
nélinnole,nélinnole,rss,mél,,inno_le,mélinnole,control,r,,0,m,n,nélinnole,2,9,pseudo,block1
nortta,nortta,rs,nort,,ta,nortta,control,s,0.0,1,a,e,nortte,0,6,pseudo,block1
édreunacne,édreunacne,prs,roun,éd,acne,édrounacne,control,r,,1,o,e,édreunacne,2,10,pseudo,block1
sédnefodre,sédnefodne,pprs,fod,séd_ne,re,sédnefodre,control,s,0.0,0,r,n,sédnefodne,1,10,pseudo,block1
tiéclaeist,tioclaeist,rss,tioc,,la_eist,tioclaeist,control,r,,2,o,é,tiéclaeist,3,10,pseudo,block1
cruh,crus,r,crus,,,crus,target,r,,3,s,h,cruh,3,4,pseudo,block1
snalmant,snalment,rs,snal,,ment,snalment,target,s,0.0,1,e,a,snalmant,3,8,pseudo,block1
fodaria,fodaria,rs,fod,,arie,fodarie,control,s,0.0,3,e,a,fodaria,2,7,pseudo,block1
troclaisem,troclaisem,rss,troc,,la_isem,troclaisem,control,s,0.0,1,a,i,trocliisem,0,10,pseudo,block1
tuélisce,tuélisce,rs,tuél,,iste,tuéliste,target,s,0.0,2,t,c,tuélisce,2,8,pseudo,block1
trévionnel,trévionner,rss,trév,,ionn_el,trévionnel,target,s,1.0,1,l,r,trévionner,1,10,pseudo,block1
désenbuler,désenbuler,pprs,bul,dés_en,er,désenbuler,target,p,0.0,2,s,d,dédenbuler,0,10,pseudo,block1
redésên,redésên,ppr,san,re_dé,,redésan,target,r,,1,a,ê,redésên,2,7,pseudo,block1
redélémage,redélémage,pprs,lém,re_dé,age,redélémage,target,r,,0,l,n,redénémage,0,10,pseudo,block1
nouroonnel,nourionnel,rss,nour,,ionn_el,nourionnel,target,s,0.0,0,i,o,nouroonnel,3,10,pseudo,block1
prérejais,prélejais,ppr,jais,pré_re,,prérejais,target,p,1.0,0,r,l,prélejais,1,9,pseudo,block1
erédlubuag,erédlubeag,pprs,lub,er_éd,eag,erédlubeag,control,s,0.0,0,e,u,erédlubuag,3,10,pseudo,block1
jeis,jeis,r,jais,,,jais,target,r,,1,a,e,jeis,2,4,pseudo,block1
qôlcét,qôlcét,rs,tôlc,,ét,tôlcét,control,r,,0,t,q,qôlcét,2,6,pseudo,block1
incortent,incortent,prs,cort,in,ent,incortent,target,p,0.0,0,i,a,ancortent,0,9,pseudo,block1
surenfoir,surenfoir,ppr,foir,sur_en,,surenfoir,target,p,0.0,2,r,l,sulenfoir,0,9,pseudo,block1
impréplem,imprépler,ppr,plem,im_pré,,impréplem,target,r,,3,m,r,imprépler,1,9,pseudo,block1
leplem,replem,pr,plem,re,,replem,target,p,0.0,0,r,l,leplem,3,6,pseudo,block1
jauleuse,jauleuse,rs,jaun,,euse,jauneuse,target,r,,3,n,l,jauleuse,2,8,pseudo,block1
lubmanemt,lubmanemt,rss,lub,,ma_nemt,lubmanemt,control,s,0.0,0,m,l,lublanemt,0,9,pseudo,block1
slemalité,slemalité,rss,plem,,al_ité,plemalité,target,r,,0,p,s,slemalité,2,9,pseudo,block1
roqunent,roqunent,rs,roqu,,nemt,roqunemt,control,s,0.0,2,m,n,roqunent,2,8,pseudo,block1
surenjais,surenjais,ppr,jais,sur_en,,surenjais,target,p,0.0,2,r,m,sumenjais,0,9,pseudo,block1
réproquoin,reproquoin,prs,roqu,rép,oin,réproquoin,control,p,0.0,1,é,e,reproquoin,1,10,pseudo,block1
répréut,répléut,pr,léut,rép,,répléut,control,r,,0,l,r,répréut,3,7,pseudo,block1
désinlémer,désinlémer,pprs,lém,dés_in,er,désinlémer,target,p,0.0,2,s,p,dépinlémer,0,10,pseudo,block1
raujle,raujle,rs,nauj,,le,naujle,control,r,,0,n,r,raujle,2,6,pseudo,block1
laceist,laceist,rs,mac,,eist,maceist,control,r,,0,m,l,laceist,2,7,pseudo,block1
mimacletié,mimacletié,prss,mac,mi,le_tié,mimacletié,control,p,0.0,1,i,e,memacletié,0,10,pseudo,block1
jaunalité,jaunalité,rss,jaun,,al_ité,jaunalité,target,r,,2,u,e,jaenalité,0,9,pseudo,block1
ervérture,ervérture,prs,vért,er,ure,ervérture,control,s,0.0,2,e,o,ervérturo,0,9,pseudo,block1
snalamment,snalamment,rss,snal,,am_ment,snalamment,target,r,,3,l,r,snaramment,0,10,pseudo,block1
clôtat,clôtat,rs,clôt,,at,clôtat,target,r,,2,ô,o,clotat,0,6,pseudo,block1
pourtuém,pourtuél,pr,tuél,pour,,pourtuél,target,r,,3,l,m,pourtuém,3,8,pseudo,block1
nejuration,rejuration,prss,jur,re,at_ion,rejuration,target,p,0.0,0,r,n,nejuration,3,10,pseudo,block1
désindirer,désindirer,pprs,dir,dés_in,er,désindirer,target,r,,0,d,t,désintirer,0,10,pseudo,block1
rièn,rièn,r,rièn,,,rièn,control,r,,1,i,e,reèn,0,4,pseudo,block1
