first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
rinorttan,ninorttan,prs,nort,ni,tan,ninorttan,control,p,0.0,0,n,r,rinorttan,3,9,pseudo,block1
ninaslatié,ninaslatié,prss,nas,ni,la_tié,ninaslatié,control,r,,0,n,r,niraslatié,0,10,pseudo,block1
encrusant,encrusant,prs,crus,en,ant,encrusant,target,s,0.0,1,n,r,encrusart,0,9,pseudo,block1
cogaer,cogaer,pr,gier,co,,cogier,target,r,,1,i,a,cogaer,2,6,pseudo,block1
netôlctan,letôlctan,prs,tôlc,ne,tan,netôlctan,control,p,0.0,0,n,l,letôlctan,1,9,pseudo,block1
cort,cort,r,cort,,,cort,target,r,,3,t,c,corc,0,4,pseudo,block1
préfilaine,préfilaine,prs,fil,pré,aire,préfilaire,target,s,0.0,2,r,n,préfilaine,2,10,pseudo,block1
darièn,darièn,pr,rièn,da,,darièn,control,r,,3,n,r,darièr,0,6,pseudo,block1
redégier,redédier,ppr,gier,re_dé,,redégier,target,r,,0,g,d,redédier,1,8,pseudo,block1
lejurment,rejurment,prs,jur,re,ment,rejurment,target,p,0.0,0,r,l,lejurment,3,9,pseudo,block1
surcni,surcni,rs,surc,,ni,surcni,control,r,,1,u,i,sircni,0,6,pseudo,block1
mevért,mevért,pr,vért,ne,,nevért,control,p,0.0,0,n,m,mevért,2,6,pseudo,block1
roprid,roprid,pr,rid,rop,,roprid,control,p,0.0,1,o,u,ruprid,0,6,pseudo,block1
insnal,insnal,pr,snal,in,,insnal,target,r,,3,l,r,insnar,0,6,pseudo,block1
pelmlaisem,pewmlaisem,rss,pelm,,la_isem,pelmlaisem,control,r,,2,l,w,pewmlaisem,1,10,pseudo,block1
iljuralité,injuralité,prss,jur,in,al_ité,injuralité,target,p,0.0,1,n,l,iljuralité,3,10,pseudo,block1
erédrideag,erédradeag,pprs,rid,er_éd,eag,erédrideag,control,r,,1,i,a,erédradeag,1,10,pseudo,block1
niriènarie,niriènarie,prs,rièn,ni,arie,niriènarie,control,s,0.0,2,i,e,niriènaree,0,10,pseudo,block1
damél,tamél,pr,mél,da,,damél,control,p,0.0,0,d,t,tamél,1,5,pseudo,block1
désenlémem,désenlémer,pprs,lém,dés_en,er,désenlémer,target,s,0.0,1,r,m,désenlémem,3,10,pseudo,block1
macla,macla,rs,mac,,la,macla,control,r,,0,m,l,lacla,0,5,pseudo,block1
taneléut,taneléut,pr,léut,tani,,taniléut,control,p,0.0,3,i,e,taneléut,2,8,pseudo,block1
nont,nort,r,nort,,,nort,control,r,,2,r,n,nont,3,4,pseudo,block1
cim,cam,r,cam,,,cam,target,r,,1,a,i,cim,3,3,pseudo,block1
prédéneèr,prédéneèr,ppr,nièr,pré_dé,,prédénièr,target,r,,1,i,e,prédéneèr,2,9,pseudo,block1
qeoralité,quoralité,rss,quor,,al_ité,quoralité,target,r,,1,u,e,qeoralité,3,9,pseudo,block1
mirujvetié,mirujvetié,prss,ruj,mi,vi_tié,mirujvitié,control,s,0.0,1,i,e,mirujvetié,2,10,pseudo,block1
quol,quol,r,quor,,,quor,target,r,,3,r,l,quol,2,4,pseudo,block1
rieneseu,rieneseu,rs,rièn,,eseu,rièneseu,control,r,,2,è,e,rieneseu,2,8,pseudo,block1
dicalement,dicalement,rss,dic,,ale_ment,dicalement,target,r,,1,i,a,dacalement,0,10,pseudo,block1
adnièr,adnièr,pr,nièr,ad,,adnièr,target,p,0.0,0,a,é,édnièr,0,6,pseudo,block1
lasnat,lesnat,rs,las,,nat,lasnat,control,r,,1,a,e,lesnat,1,6,pseudo,block1
foirable,foirabre,rs,foir,,able,foirable,target,s,0.0,2,l,r,foirabre,1,8,pseudo,block1
incamivité,incamivité,prss,cam,in,iv_ité,incamivité,target,s,0.0,0,i,e,incamevité,0,10,pseudo,block1
erédperm,erédpelm,ppr,pelm,er_éd,,erédpelm,control,r,,2,l,r,erédperm,3,8,pseudo,block1
nilaslatié,nilaslatié,prss,las,ni,la_tié,nilaslatié,control,r,,2,s,v,nilavlatié,0,10,pseudo,block1
fiir,foir,r,foir,,,foir,target,r,,1,o,i,fiir,3,4,pseudo,block1
redésuor,redéquor,ppr,quor,re_dé,,redéquor,target,r,,0,q,s,redésuor,3,8,pseudo,block1
vourcert,pourcert,pr,cert,pour,,pourcert,target,p,0.0,0,p,v,vourcert,3,8,pseudo,block1
mifodletié,mifodletié,prss,fod,mi,le_tié,mifodletié,control,p,0.0,0,m,r,rifodletié,0,10,pseudo,block1
erédcideag,erédciceag,pprs,cid,er_éd,eag,erédcideag,control,r,,2,d,c,erédciceag,1,10,pseudo,block1
reitlatié,reitlatié,rss,reig,,la_tié,reiglatié,control,r,,3,g,t,reitlatié,2,9,pseudo,block1
jais,jait,r,jais,,,jais,target,r,,3,s,t,jait,1,4,pseudo,block1
déserdofer,déserdofer,pprs,dof,dés_en,er,désendofer,target,p,1.0,1,n,r,déserdofer,2,10,pseudo,block1
miméllitié,miméllitié,prss,mél,mi,le_tié,mimélletié,control,s,0.0,1,e,i,miméllitié,2,10,pseudo,block1
surensron,surensron,ppr,tron,sur_en,,surentron,target,r,,0,t,s,surensron,2,9,pseudo,block1
lens,lens,r,lans,,,lans,control,r,,1,a,e,lens,2,4,pseudo,block1
neroqueag,neroqueag,prs,roqu,ne,eag,neroqueag,control,p,0.0,1,e,o,noroqueag,0,9,pseudo,block1
orrountan,errountan,prs,roun,er,tan,errountan,control,p,0.0,0,e,o,orrountan,3,9,pseudo,block1
nunbul,nonbul,pr,bul,non,,nonbul,target,p,0.0,1,o,u,nunbul,3,6,pseudo,block1
miérpvurc,miérpvurc,ppr,surc,mi_érp,,miérpsurc,control,r,,0,s,v,miérpvurc,2,9,pseudo,block1
sananp,sananp,rs,san,,ant,sanant,target,s,0.0,2,t,p,sananp,2,6,pseudo,block1
sédninasle,sédninasre,pprs,nas,séd_ni,re,sédninasre,control,s,0.0,0,r,l,sédninasle,3,10,pseudo,block1
niliflatié,niliflutié,prss,lif,ni,la_tié,niliflatié,control,s,0.0,1,a,u,niliflutié,1,10,pseudo,block1
trivalisme,trivalisme,rss,trév,,al_isme,trévalisme,target,r,,2,é,i,trivalisme,2,10,pseudo,block1
roun,roin,r,roun,,,roun,control,r,,2,u,i,roin,1,4,pseudo,block1
sédnelubre,sédnelubre,pprs,lub,séd_ne,re,sédnelubre,control,s,0.0,1,e,è,sédnelubrè,0,10,pseudo,block1
refulation,refulation,prss,fil,re,at_ion,refilation,target,r,,1,i,u,refulation,2,10,pseudo,block1
ninaujle,ninaujle,prs,nauj,ni,le,ninaujle,control,r,,2,u,o,ninaojle,0,8,pseudo,block1
léutratié,léutlatié,rss,léut,,la_tié,léutlatié,control,s,0.0,0,l,r,léutratié,3,9,pseudo,block1
naujannole,naujannole,rss,nauj,,inno_le,naujinnole,control,s,0.0,0,i,a,naujannole,2,10,pseudo,block1
rujnat,rujnet,rs,ruj,,nat,rujnat,control,s,0.0,1,a,e,rujnet,1,6,pseudo,block1
impréfil,impréfil,ppr,fil,im_pré,,impréfil,target,r,,2,l,r,impréfir,0,8,pseudo,block1
nauj,mauj,r,nauj,,,nauj,control,r,,0,n,m,mauj,1,4,pseudo,block1
duulionnel,duulionnel,rss,doul,,ionn_el,doulionnel,target,r,,1,o,u,duulionnel,2,10,pseudo,block1
jeisat,jeisat,rs,jais,,at,jaisat,target,r,,1,a,e,jeisat,2,6,pseudo,block1
inlémalité,inlémalité,prss,lém,in,al_ité,inlémalité,target,s,0.0,0,a,o,inlémolité,0,10,pseudo,block1
cidisem,cidipem,rs,cid,,isem,cidisem,control,s,0.0,1,s,p,cidipem,1,7,pseudo,block1
niléut,niléut,pr,léut,ni,,niléut,control,p,0.0,0,n,r,riléut,0,6,pseudo,block1
riin,rièn,r,rièn,,,rièn,control,r,,2,è,i,riin,3,4,pseudo,block1
erudnaseag,erudnaseag,pprs,nas,er_éd,eag,erédnaseag,control,p,1.0,0,é,u,erudnaseag,2,10,pseudo,block1
lénivité,lénivité,rss,lém,,iv_ité,lémivité,target,r,,2,m,n,lénivité,2,8,pseudo,block1
enfuorage,enquorage,prs,quor,en,age,enquorage,target,r,,0,q,f,enfuorage,3,9,pseudo,block1
lum,lum,r,lém,,,lém,target,r,,1,é,u,lum,2,3,pseudo,block1
redication,redicataon,prss,dic,re,at_ion,redication,target,s,1.0,0,i,a,redicataon,1,10,pseudo,block1
diotar,diotal,rs,diot,,al,diotal,target,s,0.0,1,l,r,diotar,3,6,pseudo,block1
nefodlatié,nefodlatié,prss,fod,ni,la_tié,nifodlatié,control,p,0.0,1,i,e,nefodlatié,2,10,pseudo,block1
imjais,imjais,pr,jais,im,,imjais,target,p,0.0,1,m,l,iljais,0,6,pseudo,block1
déquorant,déquorart,prs,quor,dé,ant,déquorant,target,s,0.0,1,n,r,déquorart,1,9,pseudo,block1
