Root,Wordlength,Frequency,PercentileFrequency
expect,6,122529,63.85869565
nature,6,119108,63.31521739
regard,6,115432,61.68478261
detail,6,112568,61.14130435
almost,6,111601,60.86956522
single,6,110124,60.59782609
strong,6,109989,60.32608696
couple,6,107249,59.7826087
client,6,104252,59.23913043
select,6,101048,58.69565217
charge,6,98907,58.42391304
handle,6,96192,57.88043478
future,6,95757,57.60869565
notice,6,95403,57.33695652
format,6,94985,57.06521739
minute,6,94004,56.79347826
method,6,92974,56.52173913
custom,6,92213,55.97826087
screen,6,88645,55.16304348
street,6,86587,54.61956522
assume,6,85322,54.34782609
attack,6,83438,53.80434783
accord,6,79768,53.5326087
choice,6,79143,53.26086957
attend,6,77400,52.7173913
health,6,77200,52.44565217
ignore,6,76989,52.17391304
period,6,75215,51.90217391
thread,6,74493,51.63043478
travel,6,73210,51.35869565
chance,6,72023,51.08695652
switch,6,68072,49.72826087
remain,6,67420,49.45652174
toward,6,64143,49.18478261
policy,6,62965,48.36956522
across,6,62336,47.82608696
dollar,6,61968,47.55434783
strict,6,61851,47.2826087
effort,6,60890,47.01086957
choose,6,60564,46.73913043
cancel,6,60287,46.19565217
labour,6,58951,45.92391304
assist,6,57323,45.38043478
church,6,56630,44.83695652
stupid,6,53190,44.29347826
insult,6,17344,33.42391304
recipe,6,17152,32.88043478
tongue,6,17148,32.60869565
horror,6,16216,32.33695652
rocket,6,16193,32.06521739
devote,6,16187,31.79347826
castle,6,14925,30.97826087
cruise,6,14188,30.70652174
bullet,6,13674,29.89130435
puzzle,6,11463,27.98913043
peddle,6,1141,10.59782609
frivol,6,1140,10.32608696
mingle,6,1139,10.05434783
thing,5,1328712,100
about,5,1310534,99.72826087
write,5,938692,99.45652174
think,5,746094,98.64130435
serve,5,651056,98.09782609
where,5,607399,97.55434783
right,5,556722,97.2826087
state,5,451541,96.19565217
point,5,431824,95.92391304
group,5,401691,95.65217391
place,5,394083,95.38043478
verse,5,375470,94.83695652
drive,5,369466,94.56521739
start,5,367765,94.29347826
still,5,366293,94.02173913
great,5,353887,93.47826087
world,5,345235,92.66304348
press,5,340039,91.84782609
since,5,320454,91.57608696
while,5,298185,91.30434783
beast,5,291736,90.76086957
again,5,249680,89.13043478
check,5,247357,88.85869565
price,5,232103,88.04347826
probe,5,230747,87.77173913
issue,5,221311,87.5
organ,5,219606,87.22826087
sound,5,213436,86.68478261
money,5,212659,86.41304348
phone,5,207292,85.59782609
offer,5,206795,85.32608696
month,5,204828,85.05434783
least,5,201547,84.51086957
large,5,200996,84.23913043
agree,5,196641,83.69565217
small,5,191331,83.15217391
close,5,188225,82.33695652
black,5,186779,81.79347826
print,5,186720,81.52173913
allow,5,185956,81.25
child,5,185392,80.97826087
class,5,184646,80.70652174
above,5,177971,80.16304348
light,5,176000,79.89130435
three,5,175690,79.61956522
elect,5,175489,79.34782609
force,5,174868,78.80434783
value,5,171463,77.7173913
until,5,170311,77.17391304
level,5,170113,76.90217391
music,5,163742,76.35869565
disco,5,163318,76.08695652
board,5,163026,75.81521739
night,5,162292,75.54347826
white,5,162243,75.27173913
clear,5,160647,74.72826087
stall,5,156702,74.45652174
house,5,155845,74.18478261
limit,5,155817,73.91304348
quite,5,155011,73.64130435
cause,5,154667,73.36956522
claim,5,152055,73.09782609
stuff,5,146715,72.2826087
sense,5,144057,71.4673913
wrong,5,143655,70.92391304
stops,5,143437,70.65217391
story,5,142693,70.10869565
space,5,139965,69.56521739
learn,5,139889,69.29347826
prime,5,139856,69.02173913
major,5,138137,68.75
heard,5,135881,68.20652174
short,5,134285,67.93478261
whole,5,131881,67.39130435
color,5,127890,66.71195652
title,5,127240,66.30434783
speak,5,126284,65.76086957
video,5,125689,65.48913043
trade,5,124068,64.94565217
woman,5,123504,64.67391304
leave,5,122742,64.40217391
north,5,122624,64.13043478
build,5,121790,63.58695652
often,5,118292,63.04347826
event,5,117183,62.77173913
store,5,116434,62.5
mount,5,116277,62.22826087
total,5,116246,61.95652174
argue,5,113797,61.41304348
